H	12.00
He	10.93
Li	1.05
Be	1.38
B	2.70
C	8.39
N	7.78
O	8.66
F	4.56
Ne	7.84
Na	6.17
Mg	7.53
Al	6.37
Si	7.51
P	5.36
S	7.14
Cl	5.50
Ar	6.18
K	5.08
Ca	6.31
Sc	3.17
Ti	4.90
V	4.00
Cr	5.64
Mn	5.39
Fe	7.45
Co	4.92
Ni	6.23
Cu	4.21
Zn	4.60
Ga	2.88
Ge	3.58
Kr	3.25
Rb	2.60
Sr	2.92
Y	2.21
Zr	2.58
Nb	1.42
Mo	1.92
Ru	1.84
Rh	1.12
Pd	1.66
Ag	0.94
In	1.60
Sn	2.00
Sb	1.00
Xe	2.24
Ba	2.17
La	1.13
Ce	1.70
Pr	0.58
Nd	1.45
Sm	1.00
Eu	0.52
Gd	1.11
Tb	0.28
Dy	1.14
Ho	0.51
Er	0.93
Tm	0.00
Yb	1.08
Lu	0.06
Hf	0.88
W	1.11
Os	1.25
Ir	1.38
Au	1.01
Tl	0.90
Pb	2.00
